metric,group,elasticity
exact_match,single,1.0703864440496695
exact_match,few,0.03533348861385264
exact_match,many,-0.0
exact_match,few+many,0.01930288033747058
edit_sim,single,1.2134202914280832
edit_sim,few,0.05300023292077894
edit_sim,many,-0.0
edit_sim,few+many,0.02895432050620589
jaccard_sim,single,2.04462252410392
jaccard_sim,few,0.622768498934769
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.31129862360763716
rouge_l,single,1.6425218335633245
rouge_l,few,0.4240018633662315
rouge_l,many,-0.0
rouge_l,few+many,0.2316345640496471
bleu,single,0.9422492914496747
bleu,few,0.3003346532177473
bleu,many,-0.0
bleu,few+many,0.16407448286850004
bert_cosine,single,1.28493721511729
bert_cosine,few,0.2826679089108211
bert_cosine,many,-0.0
bert_cosine,few+many,0.15442304269976465
