pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.1273344651952462,0.2122241086587436,2.886247877758913,1.9524617996604416,0.8913412563667233,1.9524617996604416,2356
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P1,author,19810,single,6.572164948453609,11.254295532646047,12.45704467353952,14.304123711340203,7.001718213058419,12.371134020618555,2328
P2,illustrator,369,few,0.0,0.0,1.639344262295082,1.639344262295082,1.639344262295082,1.639344262295082,61
P2,illustrator,369,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P2,illustrator,369,single,3.571428571428571,7.142857142857142,8.333333333333332,8.333333333333332,2.380952380952381,8.333333333333332,84
P3,coverArtist,294,few,0.0,0.0,0.0,0.0,0.0,0.0,41
P3,coverArtist,294,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P3,coverArtist,294,single,1.96078431372549,1.96078431372549,3.92156862745098,3.92156862745098,0.0,1.96078431372549,51
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,26
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,single,0.0,0.0,0.0,0.0,0.0,0.0,61
P8,publisher,41,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,publisher,41,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,0.0,0.0,0.0,0.0,0.0,0.0,13
